name	value	 
"Albania"	3.1 
"Andorra"	56.9 
"Armenia"	10.6 
"Austria"	15.7 
"Azerbaijan"	3.4 
"Belarus"	11.6 
"Belgium"	10.4 
"Bosnia and Herzegovina"	0.6 
"Bulgaria"	1.2 
"Croatia"	17.6 
"Cyprus"	18.2 
"Czech Republic"	4 
"Denmark"	9.9 
"Estonia"	16.4 
"Finland"	5.4 
"France"	11.6 
"Georgia"	4.4 
"Germany"	11.9 
"Gibraltar"	33 
"Greece"	8.9 
"Hungary"	0.1 
"Iceland"	10.7 
"Ireland"	15.9 
"Isle of Man"	52 
"Italy"	9.4 
"Latvia"	13.8 
"Liechtenstein"	33.1 
"Lithuania" 4.9 
"Luxembourg"	43.3 
"Moldova"	11.2 
"Monaco"	64.2 
"Netherlands"	11.7 
"Norway"	13.8 
"Poland"	0.9 
"Portugal"	8.4 
"Republic of Macedonia"	6.6 
"Romania"	0.9 
"Russia"	7.7 
"San Marino"	15.4 
"Serbia"	5.6 
"Slovenia"	11.3 
"Spain"	13.8 
"Sweden"	15.9 
"Switzerland"	28.9 
"Turkey"	2.5 
"Ukraine"	11.4 
"United Kingdom"	12.4 
