country,ccode,purchpowindex,qoflifeindex
Switzerland,CHE,178.74,208.54
Denmark,DNK,142.14,206.49
New Zealand,NZL,115.47,201.06
Germany,DEU,147.61,199.7
Australia,AUS,147.25,198.79
Austria,AUT,120.46,192.4
Netherlands,NLD,129.34,192.4
Norway,NOR,125.75,188.9
Spain,ESP,105.31,186.41
Sweden,SWE,128.22,185.81
Finland,FIN,132.93,184.01
United States,USA,139.17,183.96
Portugal,PRT,75.47,181.18
United Kingdom,GRB,120,180.25
Canada,CAN,134.81,177.23
Japan,JPN,117.55,176.06
Slovenia,SVN,89.76,175.93
France,FRA,118.51,173.56
Croatia,HRV,67.89,172.39
Ireland,IRL,125.66,171.92
South Korea,KOR,120.64,170.29
Czech Republic,CZE,89.99,167.38
Israel,ISR,115.54,166.63
Greece,GRC,79.27,165.43
Belgium,BEL,106.69,162.29
Italy,ITA,105.67,159.28
Saudi Arabia,SAU,167.86,159.18
South Africa,ZAF,126.1,156.7
Poland,POL,80.77,153.61
Chile,CHL,78.4,147.26
Bosnia And Herzegovina,BIH,60.64,146.7
Romania,ROU,61.9,146.13
United Arab Emirates,ARE,136.43,144.09
Bulgaria,BGR,59.19,141.61
Hungary,HUN,56.3,140.74
Argentina,ARG,74.92,138.48
Serbia,SRB,49.62,138.26
Turkey,TUR,64.12,137.31
Mexico,MEX,76.51,137.01
Lithuania,LTU,61.25,134.33
Colombia,COL,45.99,128.46
Macedonia,MKD,46.74,115.03
India,IND,89.65,109.28
Hong Kong,HOK,102.32,108.33
Brazil,BRA,48.69,101.02
China,CHN,77.42,99.03
Iran,IRN,47.73,96.93
Pakistan,PAK,43.34,93.99
Singapore,SGP,110.5,93.09
Egypt,EGY,40.3,88.79
Russia,RUS,57.42,88.31
Ukraine,UKR,29.66,85.56
Indonesia,IND,35.51,72.19
Philippines,PHL,42.86,65.83
Thailand,THA,40.06,63.83
Malaysia,MYS,96.34,63.8
